Season Number,Startup Name,Pitch Number,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
4,Havintha,502,"Health, Style And Care",Aashish Solanki,Beauty/Fashion,Premium hair care products,https://havintha.in/,2019.5,1,1.0,0.0,0.0,0,Middle,Indore,Madhya Pradesh,5.0,0.62,0.5,2.0,25.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
4,NurturingGreen,503,Green Ventures Face Off,Sahiba Bali/Aashish Solanki,Lifestyle/Home,Online plant nursery,https://nurturinggreen.in/,2010.0,1,1.0,0.0,0.0,0,Middle,Lucknow,Uttar Pradesh,28.0,4.0,1.0,1.0,100.0,1,1,0.5,1.25,0.5,10.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
4,kyari,504,Green Ventures Face Off,Sahiba Bali/Aashish Solanki,Lifestyle/Home,Online plant nursery,https://kyari.co/,2022.0,2,2.0,0.0,0.0,0,Middle,Indore,Madhya Pradesh,10.48,2.63,0.8,0.8,100.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
4,ProjectClay,505,Young Entrepreneurs Take the Stage,Sahiba Bali/Aashish Solanki,Children/Education,One-on-one college application mentorship,https://www.projectclay.com/,2019.5,2,1.0,1.0,0.0,0,Young,Goa,Goa,2.42,0.25,0.15,10.0,1.5,1,1,0.15,10.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,No Guest,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,DeniBikes,506,Young Entrepreneurs Take the Stage,Sahiba Bali/Aashish Solanki,Vehicles/Electrical Vehicles,Affordable and eco-friendly electric motorcycles,Unknown,2019.5,1,1.0,0.0,0.0,0,Young,Pune,Maharashtra,2.42,0.25,0.3,10.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,No Guest,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,PrettyLittleShop,507,Young Entrepreneurs Take the Stage,Sahiba Bali/Aashish Solanki,Lifestyle/Home,Personalized gift solutions,Unknown,2021.0,1,0.0,1.0,0.0,0,Young,Mumbai,Maharashtra,2.42,0.86,0.3,10.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,No Guest,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,Aquapeya,508,Smart Solutions And Creative Ideas,Aashish Solanki,Lifestyle/Home,Natural mineral water,https://www.aquapeya.com/,2018.0,2,2.0,0.0,0.0,0,Middle,Sangli,Maharashtra,12.0,0.25,0.7,2.0,35.0,1,1,0.7,3.0,0.0,0.0,23.33,2.0,0.0,1.0,0.7,0.0,0.35,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,No Guest,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
4,Jarsh,509,Smart Solutions And Creative Ideas,Aashish Solanki,Manufacturing,Innovative safety wearables,https://jarshsafety.com/,2019.5,3,3.0,0.0,0.0,0,Middle,Hyderabad,Telangana,2.42,0.5,0.5,1.0,50.0,1,1,0.5,1.5,0.0,0.0,33.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,No Guest,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
4,DACBY,510,Smart Solutions And Creative Ideas,Aashish Solanki,Beauty/Fashion,Platform for pre-owned gaming consoles,https://dacby.com/,2022.0,1,1.0,0.0,0.0,0,Middle,Kanpur,Uttar Pradesh,2.42,0.3,0.75,2.2,34.09090909,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,No Guest,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
4,Shyle,511,Heritage Meets Modernity,Sahiba Bali,Beauty/Fashion,Handcrafted jewellery silver,https://www.shyle.in/,2017.0,2,1.0,1.0,0.0,1,Middle,Jaipur,Rajasthan,15.0,1.2,0.7,1.0,70.0,1,1,0.7,1.5,0.0,0.0,46.66,2.0,0.0,0.5,0.7,0.0,0.35,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
